salary_max,latitude,redirect_url,title,created,salary_min,id,description,longitude,contract_time,_search_query,company,category,category_tag,location,location_area,contract_type,city,week,day_of_week,is_recent,skills,text_to_search
98887.0,43.64837,https://www.adzuna.ca/details/5710417259?utm_medium=api&utm_source=df320f6a,Data Analyst,2026-04-25 13:42:06+00:00,78777.0,5710417259,"We're looking for a sharp, analytical Remote Data Analyst to help us turn data into actionable insights. If you love working with numbers, spotting trends, and making data meaningful — this role is for you. Role: Remote Data Analyst Department: Analytics & Business Intelligence Location: Fully Remote Type: Full-Time / Part-Time Requirements Collect, clean, and analyze large sets of patient and operational data Build reports, dashboards, and visualizations for internal teams Identify trends, pat…",-79.3819,full_time,data analyst,ADF Medical Services Inc.,IT Jobs,it-jobs,"Toronto Dominion Centre, City of Toronto","['Canada', 'Ontario', 'Toronto', 'City of Toronto', 'Toronto Dominion Centre']",,Toronto,2026-04-20/2026-04-26,Saturday,True,['Dashboards'],"Data Analyst We're looking for a sharp, analytical Remote Data Analyst to help us turn data into actionable insights. If you love working with numbers, spotting trends, and making data meaningful — this role is for you. Role: Remote Data Analyst Department: Analytics & Business Intelligence Location: Fully Remote Type: Full-Time / Part-Time Requirements Collect, clean, and analyze large sets of patient and operational data Build reports, dashboards, and visualizations for internal teams Identify trends, pat…"
,43.706102,https://www.adzuna.ca/details/5715365580?utm_medium=api&utm_source=df320f6a,Data Analyst,2026-05-01 01:13:21+00:00,,5715365580,"About the job Mercor connects elite creative and technical talent with leading AI research labs. Headquartered in San Francisco, our investors include Benchmark , General Catalyst , Peter Thiel , Adam D'Angelo , Larry Summers , and Jack Dorsey . Position: Artifact Expert — Data Analyst Type: Contract Compensation: $80–$120/hour Location: Remote Role Responsibilities Review existing analytics slides, SQL/Python notebooks, and sheets. Provide detailed, constructive feedback to enhance clarity and…",-79.402726,,data analyst,Mercor,IT Jobs,it-jobs,"Toronto, Ontario","['Canada', 'Ontario', 'Toronto']",contract,Toronto,2026-04-27/2026-05-03,Friday,True,"['Python', 'SQL']","Data Analyst About the job Mercor connects elite creative and technical talent with leading AI research labs. Headquartered in San Francisco, our investors include Benchmark , General Catalyst , Peter Thiel , Adam D'Angelo , Larry Summers , and Jack Dorsey . Position: Artifact Expert — Data Analyst Type: Contract Compensation: $80–$120/hour Location: Remote Role Responsibilities Review existing analytics slides, SQL/Python notebooks, and sheets. Provide detailed, constructive feedback to enhance clarity and…"
140000.0,43.67071,https://www.adzuna.ca/details/5691595044?utm_medium=api&utm_source=df320f6a,Data Analyst,2026-04-06 18:35:43+00:00,110000.0,5691595044,"About the Role We are seeking a Data Analyst/Scientist to help drive data-informed decision making across product, customer experience, and operations. This role partners closely with cross-functional teams to build trusted analytics foundations, deliver insights and support strategic initiatives through data. Requirements Responsibilities Partner with cross-functional teams to define data requirements and build source-of-truth dashboards, curated datasets, and reporting assets used in day-to-d…",-79.38514,full_time,data analyst,COSMO,IT Jobs,it-jobs,"Church and Wellesley, City of Toronto","['Canada', 'Ontario', 'Toronto', 'City of Toronto', 'Church and Wellesley']",,Toronto,2026-04-06/2026-04-12,Monday,True,"['Dashboards', 'Reporting']","Data Analyst About the Role We are seeking a Data Analyst/Scientist to help drive data-informed decision making across product, customer experience, and operations. This role partners closely with cross-functional teams to build trusted analytics foundations, deliver insights and support strategic initiatives through data. Requirements Responsibilities Partner with cross-functional teams to define data requirements and build source-of-truth dashboards, curated datasets, and reporting assets used in day-to-d…"
83179.0,43.64837,https://www.adzuna.ca/details/5704756224?utm_medium=api&utm_source=df320f6a,Data Analyst,2026-04-19 16:29:11+00:00,54059.0,5704756224,"Here's your clean, copy-ready job posting: JOB OPENING — Remote Data Analyst ADF Medical Services Inc. We're looking for a sharp, analytical Remote Data Analyst to help us turn data into actionable insights. If you love working with numbers, spotting trends, and making data meaningful — this role is for you. Role: Remote Data Analyst Department: Analytics & Business Intelligence Location: Fully Remote Type: Full-Time / Part-Time What You'll Do: Collect, clean, and analyze large sets of patient …",-79.3819,full_time,data analyst,ADF Medical Services,IT Jobs,it-jobs,"Toronto Dominion Centre, City of Toronto","['Canada', 'Ontario', 'Toronto', 'City of Toronto', 'Toronto Dominion Centre']",,Toronto,2026-04-13/2026-04-19,Sunday,True,[],"Data Analyst Here's your clean, copy-ready job posting: JOB OPENING — Remote Data Analyst ADF Medical Services Inc. We're looking for a sharp, analytical Remote Data Analyst to help us turn data into actionable insights. If you love working with numbers, spotting trends, and making data meaningful — this role is for you. Role: Remote Data Analyst Department: Analytics & Business Intelligence Location: Fully Remote Type: Full-Time / Part-Time What You'll Do: Collect, clean, and analyze large sets of patient …"
,43.706102,https://www.adzuna.ca/details/5711196627?utm_medium=api&utm_source=df320f6a,Data Analyst,2026-04-26 17:25:50+00:00,,5711196627,"We're looking for a sharp, analytical Remote Data Analyst to help us turn data into actionable insights. If you love working with numbers, spotting trends, and making data meaningful — this role is for you. Role: Remote Data Analyst Department: Analytics & Business Intelligence Location: Fully Remote Type: Full-Time / Part-Time Requirements Collect, clean, and analyze large sets of patient and operational data Build reports, dashboards, and visualizations for internal teams Identify trends, pat…",-79.402726,part_time,data analyst,ADF Medical Services Inc.,IT Jobs,it-jobs,"Toronto, Ontario","['Canada', 'Ontario', 'Toronto']",,Toronto,2026-04-20/2026-04-26,Sunday,True,['Dashboards'],"Data Analyst We're looking for a sharp, analytical Remote Data Analyst to help us turn data into actionable insights. If you love working with numbers, spotting trends, and making data meaningful — this role is for you. Role: Remote Data Analyst Department: Analytics & Business Intelligence Location: Fully Remote Type: Full-Time / Part-Time Requirements Collect, clean, and analyze large sets of patient and operational data Build reports, dashboards, and visualizations for internal teams Identify trends, pat…"
,43.64793,https://www.adzuna.ca/details/5648925676?utm_medium=api&utm_source=df320f6a,Data Analyst,2026-02-28 15:07:40+00:00,,5648925676,"Junior Data Analyst Toronto, Ontario, Canada | 1-Year Contract | Hybrid (1–2 days/week in Downtown Toronto) Pay Rate: $38.18/hour (T4) | $46.60/hour (Incorporated) About the Role The Junior Data Analyst will support data-driven decision-making by collecting, analyzing, and transforming data into meaningful insights for stakeholders across the business. This role is ideal for a detail-oriented professional with strong technical skills in Excel and Power BI and demonstrated experience working wit…",-79.41975,,data analyst,emergiTEL,IT Jobs,it-jobs,"Trinity, City of Toronto","['Canada', 'Ontario', 'Toronto', 'City of Toronto', 'Trinity']",contract,Toronto,2026-02-23/2026-03-01,Saturday,True,"['Power BI', 'Excel']","Data Analyst Junior Data Analyst Toronto, Ontario, Canada | 1-Year Contract | Hybrid (1–2 days/week in Downtown Toronto) Pay Rate: $38.18/hour (T4) | $46.60/hour (Incorporated) About the Role The Junior Data Analyst will support data-driven decision-making by collecting, analyzing, and transforming data into meaningful insights for stakeholders across the business. This role is ideal for a detail-oriented professional with strong technical skills in Excel and Power BI and demonstrated experience working wit…"
93600.0,43.706102,https://www.adzuna.ca/details/5711155211?utm_medium=api&utm_source=df320f6a,Data Analyst,2026-04-26 16:39:46+00:00,83200.0,5711155211,"Job Description Data Analyst Job Type: Contract (Full-Time) Location: Downtown Toronto, ON Work Model: Hybrid (combination of in-office and remote work) Pay Rate: $40 – $45 per hour Overview We are seeking a highly analytical and detail-oriented Data Analyst for our client. This role focuses on leveraging data to support operational performance, asset management, and evidence-based decision-making. The ideal candidate will have strong experience in data analysis, business intelligence, and perf…",-79.402726,full_time,data analyst,Staffworks L T D,IT Jobs,it-jobs,"Toronto, Ontario","['Canada', 'Ontario', 'Toronto']",contract,Toronto,2026-04-20/2026-04-26,Sunday,True,[],"Data Analyst Job Description Data Analyst Job Type: Contract (Full-Time) Location: Downtown Toronto, ON Work Model: Hybrid (combination of in-office and remote work) Pay Rate: $40 – $45 per hour Overview We are seeking a highly analytical and detail-oriented Data Analyst for our client. This role focuses on leveraging data to support operational performance, asset management, and evidence-based decision-making. The ideal candidate will have strong experience in data analysis, business intelligence, and perf…"
,43.01792,https://www.adzuna.ca/details/5650423213?utm_medium=api&utm_source=df320f6a,Data Analyst,2026-03-01 15:12:59+00:00,,5650423213,"VersaBank is an inclusive, entrepreneurial, Schedule 1 Chartered Bank with over $5.8 billion in assets and growing . As Canada’s most innovative bank, VersaBank operates as a branchless financial institution that obtains its deposits and provides most of its loans and leases electronically, with innovative deposit and lending solutions for financial intermediaries that allow them to excel in their core businesses. VersaBank’s Common Shares trade on the Toronto Stock Exchange (“TSX”) and Nasdaq …",-81.17475,full_time,data analyst,VersaBank,IT Jobs,it-jobs,"London, Middlesex","['Canada', 'Ontario', 'Middlesex', 'London']",,Middlesex,2026-02-23/2026-03-01,Sunday,True,['Excel'],"Data Analyst VersaBank is an inclusive, entrepreneurial, Schedule 1 Chartered Bank with over $5.8 billion in assets and growing . As Canada’s most innovative bank, VersaBank operates as a branchless financial institution that obtains its deposits and provides most of its loans and leases electronically, with innovative deposit and lending solutions for financial intermediaries that allow them to excel in their core businesses. VersaBank’s Common Shares trade on the Toronto Stock Exchange (“TSX”) and Nasdaq …"
78000.0,43.010348,https://www.adzuna.ca/details/5707525089?utm_medium=api&utm_source=df320f6a,Data Analyst,2026-04-22 16:36:31+00:00,68000.0,5707525089,"Location: London, ON | Remote | StarTech.com StarTech.com is continuing to grow our Data Analytics team and we are looking for a Data Analyst who is passionate about turning data into actionable insights. In this role, you will partner closely with cross functional teams to analyze data across key areas of the business, including product performance, inventory, revenue, customer insights, and marketing. Your work will help shape business decisions, optimize performance, and support continued gr…",-81.17702,full_time,data analyst,StarTech.com,IT Jobs,it-jobs,"London, Middlesex","['Canada', 'Ontario', 'Middlesex', 'London']",,Middlesex,2026-04-20/2026-04-26,Wednesday,True,[],"Data Analyst Location: London, ON | Remote | StarTech.com StarTech.com is continuing to grow our Data Analytics team and we are looking for a Data Analyst who is passionate about turning data into actionable insights. In this role, you will partner closely with cross functional teams to analyze data across key areas of the business, including product performance, inventory, revenue, customer insights, and marketing. Your work will help shape business decisions, optimize performance, and support continued gr…"
100000.0,43.706102,https://www.adzuna.ca/details/5710532502?utm_medium=api&utm_source=df320f6a,Data Analyst,2026-04-25 16:37:50+00:00,75000.0,5710532502,"Who We Are Konrad is a next-generation digital consultancy. We are dedicated to solving complex business problems for our global clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard-working people who are lifelong learners. About The Role This role sits on our consulting team…",-79.402726,,data analyst,Konrad,Consultancy Jobs,consultancy-jobs,"Toronto, Ontario","['Canada', 'Ontario', 'Toronto']",,Toronto,2026-04-20/2026-04-26,Saturday,True,[],"Data Analyst Who We Are Konrad is a next-generation digital consultancy. We are dedicated to solving complex business problems for our global clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard-working people who are lifelong learners. About The Role This role sits on our consulting team…"
