WIC Job Location Snapshot ID,First Posting Date,_noc21_clean,Job Title,NOC21 Code Name,Province/Territory,City,Economic  Region,Salary Minimum,Salary Maximum,Salary Per,_salary_per_corrected,salary_min_annual,salary_max_annual,salary_avg_annual,Education LOS,Experience Level,Hours Minimum,Hours Maximum,Hours Per,_source_month
15481290,2026/04/16,21222,information technology (IT) analyst,Information systems specialists,Ontario,Tillsonburg,London Region,30.0,30.0,Hour,Hour,62400.0,62400.0,62400.0,,,,,,apr2026
15387070,2026/04/08,21221,"business analyst, informatics",Business systems specialists,Ontario,Ottawa,Ottawa Region,85980.0,101190.0,Year,Year,85980.0,101190.0,93585.0,,,,,,apr2026
15380624,2026/04/01,21222,information technology (IT) analyst,Information systems specialists,Ontario,Guelph,Kitchener–Waterloo–Barrie Region,61194.0,68842.0,Year,Year,61194.0,68842.0,65018.0,,,,,,apr2026
15492569,2026/04/20,21222,information technology (IT) analyst,Information systems specialists,Ontario,Guelph,Kitchener–Waterloo–Barrie Region,30.0,30.0,Hour,Hour,62400.0,62400.0,62400.0,,,,,,apr2026
15380664,2026/04/01,21222,information technology (IT) analyst,Information systems specialists,Ontario,Mississauga,Toronto Region,20.0,20.0,Hour,Hour,41600.0,41600.0,41600.0,,,,,,apr2026
15377015,2026/04/04,21221,business systems analyst,Business systems specialists,Ontario,Toronto,Toronto Region,30.67,62.5,Hour,Hour,63793.600000000006,130000.0,96896.8,,,,,,apr2026
15378427,2026/04/06,21221,business systems analyst,Business systems specialists,Ontario,Toronto,Toronto Region,30.67,62.5,Hour,Hour,63793.600000000006,130000.0,96896.8,,,,,,apr2026
15387432,2026/04/09,21221,business systems analyst,Business systems specialists,Ontario,Toronto,Toronto Region,30.67,62.5,Hour,Hour,63793.600000000006,130000.0,96896.8,,,,,,apr2026
15385591,2026/04/08,21222,"analyst, systems",Information systems specialists,Ontario,Toronto,Toronto Region,28.85,68.68,Hour,Hour,60008.0,142854.40000000002,101431.20000000001,,,,,,apr2026
15430663,2026/04/09,21211,data engineer,Data scientists,Ontario,Toronto,Toronto Region,86.0,86.0,Hour,Hour,178880.0,178880.0,178880.0,,,,,,apr2026
15430591,2026/04/10,21222,information technology (IT) analyst,Information systems specialists,Ontario,Toronto,Toronto Region,77300.0,77300.0,Year,Year,77300.0,77300.0,77300.0,,,,,,apr2026
15508416,2026/04/30,21221,business systems analyst,Business systems specialists,Ontario,Toronto,Toronto Region,30.67,62.5,Hour,Hour,63793.600000000006,130000.0,96896.8,,,,,,apr2026
15429427,2026/04/11,21222,management information systems (MIS) consultant,Information systems specialists,Ontario,Toronto,Toronto Region,28.85,68.68,Hour,Hour,60008.0,142854.40000000002,101431.20000000001,,,,,,apr2026
15457161,2026/04/14,21221,business process analyst,Business systems specialists,Ontario,Toronto,Toronto Region,90000.0,110000.0,Year,Year,90000.0,110000.0,100000.0,Bachelor's degree,3 years to less than 5 years,40.0,40.0,Week,apr2026
