_city_bucket,count,median,mean,min,max
Durham region,5,176800.0,173056.0,135200.0,199680.0
Unknown,8,119500.0,138187.0,78000.0,204000.0
Ottawa region,17,112650.0,121062.0,46800.0,225000.0
Middlesex,6,110125.0,131625.0,73000.0,208000.0
Toronto,151,108000.0,117115.0,52500.0,270750.0
Waterloo region,9,98500.0,103886.0,57148.0,154570.0
Halton,9,97129.0,101959.0,75000.0,145400.0
York region,13,89877.0,89513.0,55000.0,120000.0
Peel region,27,89702.0,101546.0,65000.0,225000.0
Other Ontario,13,78500.0,92315.0,48000.0,225000.0
